CORP,CORP_NAME,SCHL_NAME_CODE,SCHL_NAME,ENR_ELL_N,ENR_ELL_RATIO,ENR_SPEC_ED_N,ENR_SPEC_ED_RATIO,ENROLLMENT_N
1805,DeKalb Co Eastern Com Sch Dist,1317,Eastside Junior-Senior High School,4,0.68%,112,19.02%,589
1805,DeKalb Co Eastern Com Sch Dist,1321,Butler Elementary School,6,1.41%,92,21.65%,425
1805,DeKalb Co Eastern Com Sch Dist,1335,Riverdale Elementary School,0,0.00%,22,7.24%,304
1820,Garrett-Keyser-Butler Com Sch Corp,,,15,0.84%,284,15.98%,1777
1820,Garrett-Keyser-Butler Com Sch Corp,1325,Garrett High School,9,1.53%,85,14.41%,590
1820,Garrett-Keyser-Butler Com Sch Corp,1329,J E Ober Elementary School,4,0.52%,121,15.76%,768
1820,Garrett-Keyser-Butler Com Sch Corp,1331,Garrett Middle School,2,0.48%,78,18.62%,419
1835,DeKalb Co Ctl United Sch Dist,,,35,0.94%,540,14.50%,3725
1835,DeKalb Co Ctl United Sch Dist,1341,Waterloo Elementary School,2,0.63%,61,19.06%,320
1835,DeKalb Co Ctl United Sch Dist,1345,DeKalb High School,10,0.85%,167,14.22%,1174
1835,DeKalb Co Ctl United Sch Dist,1346,DeKalb Middle School,3,0.36%,107,12.78%,837
1835,DeKalb Co Ctl United Sch Dist,1351,James R Watson Elementary School,14,2.31%,69,11.40%,605
1835,DeKalb Co Ctl United Sch Dist,1357,McKenney-Harrison Elementary Sch,2,0.40%,66,13.15%,502
1835,DeKalb Co Ctl United Sch Dist,1359,Country Meadow Elementary School,4,1.39%,70,24.39%,287
1875,Delaware Community School Corp,,,0,0.00%,411,15.68%,2622
1875,Delaware Community School Corp,1365,Royerton Elementary School,0,0.00%,80,13.94%,574
1875,Delaware Community School Corp,1367,Delta Middle School,0,0.00%,89,14.52%,613
1875,Delaware Community School Corp,1369,Delta High School,0,0.00%,133,15.27%,871
1875,Delaware Community School Corp,1409,Eaton Elementary School,0,0.00%,48,17.78%,270
1875,Delaware Community School Corp,1520,Albany Elementary School,0,0.00%,61,20.75%,294
1885,Wes-Del Community Schools,,,9,1.10%,130,15.91%,817
